Customer Lifetime Value,Coverage,Gender,Income,Marital Status,Months Since Last Claim,Months Since Policy Inception,Number of Policies,Total Claim Amount,Vehicle Size,Number of Open Complaints,MPA(50-100),MPA(101-150),MPA(151-200),MPA(201-250)
18975.45611,Extended,M,65999,Married,1,14,6,615.927769,Medsize,0,0,0,0,1
16936.27147,Extended,F,39411,Married,4,29,4,1122.658899,Medsize,2,0,0,0,1
8672.229719,Extended,M,0,Single,34,83,1,2345.413441,Medsize,0,0,0,0,1
18042.47942,Extended,M,35704,Married,21,35,8,358.281562,Medsize,0,0,0,0,1
29091.23936,Extended,F,34226,Married,29,22,2,494.395024,Small,0,0,0,0,1
27776.28906,Extended,M,88220,Married,28,63,2,151.528482,Small,0,0,0,0,1
20714.94043,Extended,M,0,Single,20,66,2,2027.724442,Small,0,0,0,0,1
15771.39342,Extended,M,21921,Married,14,44,3,1254.137899,Large,0,0,0,0,1
7840.165778,Extended,M,58414,Single,7,24,1,1008,Small,2,0,0,0,1
8581.278701,Extended,M,27689,Married,0,72,1,2893.239678,Medsize,2,0,0,0,1
25807.063,Extended,F,71210,Married,8,89,2,1027.2,Small,1,0,0,0,1
25807.063,Extended,F,71210,Married,8,89,2,1027.2,Small,1,0,0,0,1
19160.98994,Extended,F,22705,Divorced,19,59,7,1294.700423,Medsize,0,0,0,0,1
17723.76398,Extended,F,25771,Married,21,58,4,1253.984948,Medsize,0,0,0,0,1
8427.172486,Extended,F,46503,Divorced,4,21,1,1032,Medsize,1,0,0,0,1
19896.42226,Extended,F,60420,Married,8,74,8,632.944366,Medsize,0,0,0,0,1
26346.08582,Extended,M,48268,Divorced,28,26,2,1605.6,Medsize,0,0,0,0,1
19160.98994,Extended,F,22705,Divorced,19,59,7,1294.700423,Medsize,0,0,0,0,1
17029.89338,Extended,M,54613,Divorced,29,62,5,731.559007,Medsize,0,0,0,0,1
19685.40911,Extended,M,51524,Married,6,30,3,1171.2,Small,0,0,0,0,1
23950.37443,Extended,M,39335,Married,0,11,2,964.8,Medsize,0,0,0,0,1
9283.737773,Extended,M,24314,Married,20,60,1,1128,Medsize,0,0,0,0,1
7918.334928,Extended,M,44698,Married,0,88,1,1012.8,Medsize,4,0,0,0,1
46805.22306,Extended,M,83006,Married,8,61,2,1065.049894,Small,1,0,0,0,1
74228.51604,Extended,M,0,Single,1,34,2,1742.4,Medsize,0,0,0,0,1
7840.165778,Extended,M,58414,Single,7,24,1,1008,Small,2,0,0,0,1
7840.165778,Extended,M,58414,Single,7,24,1,1008,Small,2,0,0,0,1
18089.79629,Extended,F,68568,Married,5,28,6,1070.4,Medsize,1,0,0,0,1
8427.172486,Extended,F,46503,Divorced,4,21,1,1032,Medsize,1,0,0,0,1
8427.172486,Extended,F,46503,Divorced,4,21,1,1032,Medsize,1,0,0,0,1
16985.49688,Extended,F,22497,Married,15,71,7,1017.6,Medsize,0,0,0,0,1
30061.69259,Extended,M,48258,Married,12,86,2,1195.2,Medsize,0,0,0,0,1
26730.06042,Extended,M,21275,Divorced,3,58,2,1152,Medsize,0,0,0,0,1
8935.274872,Extended,M,63326,Married,5,99,1,1080,Medsize,0,0,0,0,1
24178.68478,Extended,M,43704,Married,29,67,2,1064.482165,Medsize,0,0,0,0,1
28421.57022,Extended,M,42803,Divorced,21,56,2,889.288242,Small,0,0,0,0,1
19160.98994,Extended,F,22705,Divorced,19,59,7,1294.700423,Medsize,0,0,0,0,1
8712.157741,Extended,F,68516,Married,17,0,1,95.693949,Medsize,0,0,0,0,1
19435.62924,Extended,F,38688,Single,22,6,3,2294.631639,Medsize,0,0,0,0,1
15700.28436,Extended,M,0,Married,31,52,5,1012.8,Medsize,0,0,0,0,1
25807.063,Extended,F,71210,Married,8,89,2,1027.2,Small,1,0,0,0,1
18611.45356,Extended,F,49673,Married,27,57,7,1021.654003,Medsize,0,0,0,0,1
19185.0725,Extended,M,35322,Married,4,33,5,76.826503,Small,0,0,0,0,1
25807.063,Extended,F,71210,Married,8,89,2,1027.2,Small,1,0,0,0,1
16570.09009,Extended,M,23589,Married,30,13,6,1012.8,Small,0,0,0,0,1
15789.65496,Extended,F,0,Single,28,51,4,1526.4,Large,0,0,0,0,1
7054.776317,Extended,M,0,Single,32,96,1,1490.4,Medsize,0,0,0,0,1
9366.816281,Extended,M,60613,Single,3,52,1,1152,Small,0,0,0,0,1
18704.85055,Extended,M,64929,Married,13,11,8,1261.672708,Medsize,3,0,0,0,1
61850.18803,Extended,F,0,Married,19,29,2,1142.4,Medsize,0,0,0,0,1
9090.269181,Extended,M,45310,Married,28,70,1,1550.375183,Medsize,0,0,0,0,1
17816.68242,Extended,F,60192,Married,17,87,7,1056,Medsize,0,0,0,0,1
17995.86532,Extended,F,80991,Married,5,56,4,937.327881,Medsize,0,0,0,0,1
8427.172486,Extended,F,46503,Divorced,4,21,1,1032,Medsize,1,0,0,0,1
8427.172486,Extended,F,46503,Divorced,4,21,1,1032,Medsize,1,0,0,0,1
7840.165778,Extended,M,58414,Single,7,24,1,1008,Small,2,0,0,0,1
60556.19213,Extended,F,0,Married,35,45,2,979.2,Large,0,0,0,0,1
15063.50118,Extended,M,19132,Single,25,15,3,1008.569798,Small,0,0,0,0,1
17109.39447,Extended,F,87139,Married,18,27,3,363.865389,Medsize,0,0,0,0,1
22062.54841,Extended,M,0,Single,26,53,2,1620,Medsize,0,0,0,0,1
28799.95415,Extended,M,33635,Married,1,23,2,1152,Medsize,0,0,0,0,1
18504.2801,Extended,M,91268,Married,32,62,5,737.737825,Small,0,0,0,0,1
16728.34386,Extended,M,0,Single,1,29,5,1706.4,Medsize,0,0,0,0,1
18065.27192,Extended,F,0,Married,11,26,7,1135.141469,Medsize,0,0,0,0,1
14246.14841,Extended,M,0,Single,13,68,6,1490.4,Small,0,0,0,0,1
25807.063,Extended,F,71210,Married,8,89,2,1027.2,Small,1,0,0,0,1
